1	0.06	0.06	-0.21	0.11	-0.02
2	0.12	0.01	-0.16	0.05	0
3	-0.07	0.11	-0.1	0.18	0.03
4	0.1	0.03	-0.19	0.08	0.02
5	-0.15	0.16	-0.12	0.08	0
6	0.02	0.04	-0.06	0.08	-0.08
7	0.11	-0.05	-0.13	-0.03	-0.17
8	0.05	0.07	-0.11	0.02	-0.09
9	-0.11	-0.04	0.2	0.03	0.09
10	-0.04	-0.04	0.17	0.07	0.06
11	-0.07	-0.12	-0.08	0.11	0.04
12	0.07	0.09	-0.12	0.06	-0.06
13	-0.02	0.1	-0.15	0.18	0.04
14	0.01	0.11	-0.11	0.14	-0.02
15	-0.08	0.05	0	0.15	0.16
16	0.16	0.04	0	-0.15	-0.18
17	0.17	-0.03	-0.02	-0.03	-0.05
18	0.13	0.03	0.03	-0.23	-0.19
19	0.1	0.02	-0.03	0.01	-0.11
20	0.13	-0.06	-0.09	-0.05	-0.11
21	0.11	-0.09	-0.02	-0.11	-0.12
22	0.08	0	-0.08	0.01	-0.05
23	0.13	-0.07	-0.12	-0.04	-0.13
24	0.09	-0.13	-0.07	-0.08	-0.05
25	0.12	-0.11	-0.06	-0.07	-0.01
26	0.13	0.01	-0.06	0.05	-0.01
27	0.05	0.09	-0.11	0.05	-0.01
28	-0.01	0.03	-0.04	0.09	0.01
29	0.02	0.12	-0.08	0.01	-0.12
30	0.1	0.06	-0.01	0.1	-0.05
31	-0.06	0.15	-0.14	0.13	-0.04
32	0	0.13	-0.06	0.02	-0.07
33	-0.08	0.15	-0.14	0.15	-0.02
34	-0.08	0.15	-0.01	0.11	0.06
35	-0.07	0.09	-0.17	0.19	0.05
36	-0.05	0.13	-0.09	0.07	-0.12
37	0.01	-0.02	-0.22	0.12	0.09
38	0.03	-0.01	-0.16	0.1	0
39	0.06	-0.01	-0.16	0	-0.06
40	-0.02	-0.06	-0.08	-0.01	-0.01
41	-0.09	0.02	-0.11	0.16	0.04
42	-0.1	0.09	-0.15	0.11	0.09
43	-0.04	-0.02	-0.11	0.11	0.06
44	-0.02	0.09	0.11	0.18	0.07
45	0.1	-0.06	0	-0.07	-0.16
46	-0.02	0.02	-0.22	0.14	0.04
47	0.05	-0.12	0.01	-0.04	0.06
48	0.06	-0.07	0.02	-0.01	-0.04
49	0.07	-0.08	0.04	-0.07	0.07
50	0.01	-0.09	-0.05	0.05	0.14
51	-0.05	0.08	-0.17	0.15	0.06
52	0	0.03	-0.2	0.19	0.05
53	-0.01	0.05	-0.14	0.06	0
54	-0.02	0.05	0.05	-0.05	-0.06
55	-0.02	0.13	0.04	0.08	-0.11
56	0.04	-0.04	-0.04	-0.11	-0.08
57	-0.01	0.08	0.07	-0.01	-0.08
58	-0.03	0.11	0.05	0.06	-0.04
59	0.03	0.01	0.15	-0.13	-0.12
60	0.03	0.14	-0.09	0.09	-0.05
61	0.02	0.1	-0.04	0.09	-0.07
62	0.03	0.17	0	0.08	-0.06
63	-0.01	0.08	-0.15	0.03	-0.04
64	0.1	0.02	-0.14	0.11	-0.03
65	0.05	-0.01	-0.2	0.07	-0.05
66	0.11	0.06	0.06	-0.21	-0.14
67	0	0	0	0	0
68	0	0	0	0	0
